unique_id,ds,y
Austria,2016-05-16,21.59
Austria,2016-05-17,30.1
Austria,2016-05-18,30.57
Austria,2016-05-19,33.37
Austria,2016-05-20,27.65
Austria,2016-05-21,21.0
Austria,2016-05-22,6.29
Austria,2016-05-23,29.24
Austria,2016-05-24,29.49
Austria,2016-05-25,30.7
Austria,2016-05-26,27.46
Austria,2016-05-27,28.9
Austria,2016-05-28,22.79
Austria,2016-05-29,13.51
Austria,2016-05-30,25.17
Austria,2016-05-31,28.92
Austria,2016-06-01,30.33
Austria,2016-06-02,28.9
Austria,2016-06-03,29.13
Austria,2016-06-04,25.13
Austria,2016-06-05,20.36
Austria,2016-06-06,30.55
Austria,2016-06-07,29.19
Austria,2016-06-08,28.9
Austria,2016-06-09,30.66
Austria,2016-06-10,26.4
Austria,2016-06-11,26.0
Austria,2016-06-12,22.4
Austria,2016-06-13,29.58
Austria,2016-06-14,30.31
Austria,2016-06-15,30.61
Austria,2016-06-16,30.48
Austria,2016-06-17,27.87
Austria,2016-06-18,21.58
Austria,2016-06-19,17.85
Austria,2016-06-20,27.0
Austria,2016-06-21,33.31
Austria,2016-06-22,32.48
Austria,2016-06-23,29.28
Austria,2016-06-24,30.94
Austria,2016-06-25,26.77
Austria,2016-06-26,16.96
Austria,2016-06-27,28.03
Austria,2016-06-28,32.87
Austria,2016-06-29,27.42
Austria,2016-06-30,29.86
Austria,2016-07-01,26.62
Austria,2016-07-02,20.43
Austria,2016-07-03,15.12
Austria,2016-07-04,31.18
Austria,2016-07-05,25.33
Austria,2016-07-06,17.76
Austria,2016-07-07,29.6
Austria,2016-07-08,28.0
Austria,2016-07-09,20.57
Austria,2016-07-10,15.27
Austria,2016-07-11,25.56
Austria,2016-07-12,30.12
Austria,2016-07-13,32.23
Austria,2016-07-14,24.87
Austria,2016-07-15,26.52
Austria,2016-07-16,24.6
Austria,2016-07-17,21.68
Austria,2016-07-18,30.02
Austria,2016-07-19,32.42
Austria,2016-07-20,29.38
Austria,2016-07-21,32.93
Austria,2016-07-22,32.0
Austria,2016-07-23,29.38
Austria,2016-07-24,27.05
Austria,2016-07-25,33.15
Austria,2016-07-26,32.95
Austria,2016-07-27,33.42
Austria,2016-07-28,31.7
Austria,2016-07-29,30.15
Austria,2016-07-30,27.53
Austria,2016-07-31,25.08
Austria,2016-08-01,29.92
Austria,2016-08-02,32.44
Austria,2016-08-03,29.08
Austria,2016-08-04,28.26
Austria,2016-08-05,31.6
Austria,2016-08-06,24.08
Austria,2016-08-07,15.09
Austria,2016-08-08,21.68
Austria,2016-08-09,28.75
Austria,2016-08-10,28.18
Austria,2016-08-11,28.83
Austria,2016-08-12,27.8
Austria,2016-08-13,18.93
Austria,2016-08-14,21.9
Austria,2016-08-15,28.07
Austria,2016-08-16,29.61
Austria,2016-08-17,29.79
Austria,2016-08-18,30.8
Austria,2016-08-19,30.62
Austria,2016-08-20,24.12
Austria,2016-08-21,15.35
Austria,2016-08-22,28.6
Austria,2016-08-23,31.55
Austria,2016-08-24,29.51
Austria,2016-08-25,28.75
Austria,2016-08-26,29.75
Austria,2016-08-27,25.98
Austria,2016-08-28,21.75
Austria,2016-08-29,29.1
Austria,2016-08-30,32.14
Austria,2016-08-31,30.6
Austria,2016-09-01,31.32
Austria,2016-09-02,30.96
Austria,2016-09-03,29.2
Austria,2016-09-04,24.14
Austria,2016-09-05,37.12
Austria,2016-09-06,32.87
Austria,2016-09-07,30.82
Austria,2016-09-08,30.94
Austria,2016-09-09,32.79
Austria,2016-09-10,27.85
Austria,2016-09-11,27.28
Austria,2016-09-12,33.29
Austria,2016-09-13,31.67
Austria,2016-09-14,29.07
Austria,2016-09-15,27.91
Austria,2016-09-16,32.98
Austria,2016-09-17,27.08
Austria,2016-09-18,24.95
Austria,2016-09-19,34.83
Austria,2016-09-20,34.56
Austria,2016-09-21,35.05
Austria,2016-09-22,32.59
Austria,2016-09-23,31.1
Austria,2016-09-24,29.18
Austria,2016-09-25,23.15
Austria,2016-09-26,37.05
Austria,2016-09-27,34.19
Austria,2016-09-28,24.22
Austria,2016-09-29,22.9
Austria,2016-09-30,34.26
Austria,2016-10-01,33.11
Austria,2016-10-02,29.91
Austria,2016-10-03,30.34
Austria,2016-10-04,30.22
Austria,2016-10-05,28.93
Austria,2016-10-06,32.23
Austria,2016-10-07,38.56
Austria,2016-10-08,35.97
Austria,2016-10-09,33.47
Austria,2016-10-10,50.23
Austria,2016-10-11,38.04
Austria,2016-10-12,36.88
Austria,2016-10-13,33.43
Austria,2016-10-14,29.2
Austria,2016-10-15,32.54
Austria,2016-10-16,33.53
Austria,2016-10-17,42.03
